trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.495, 'e': 0.99}",25,0,-92.99267765116025,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.49005, 'e': 0.9801}",25,0,-107.10985572630317,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.4851495, 'e': 0.970299}",20,0,-168.0099676559463,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.480298005, 'e': 0.96059601}",30,0,-189.13792754596466,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
5,False,"{'a': 0.47549502494999996, 'e': 0.9509900498999999}",20,0,-118.59132836148706,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.4707400747005, 'e': 0.941480149401}",20,0,-24.516659684325003,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.46603267395349496, 'e': 0.9320653479069899}",20,0,-112.20385575688886,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.46137234721396003, 'e': 0.9227446944279201}",20,0,-62.84817129742194,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.4567586237418204, 'e': 0.9135172474836408}",25,0,-126.75465787704718,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.4521910375044022, 'e': 0.9043820750088044}",20,0,-143.6348669331085,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.4476691271293582, 'e': 0.8953382542587164}",25,0,-96.10135202666767,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.4431924358580646, 'e': 0.8863848717161292}",25,0,-114.52055548764108,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.4387605114994839, 'e': 0.8775210229989678}",35,0,-180.30599636417486,"{0: 25, 1: 2, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.4343729063844891, 'e': 0.8687458127689782}",25,0,-154.34183994279817,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.4300291773206442, 'e': 0.8600583546412884}",25,0,-32.512153742149096,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.42572888554743776, 'e': 0.8514577710948755}",25,0,-66.89767033191733,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
